所管,組織,科目名,元額_億円,フリードマン根拠,残存割合,残す額_億円,削減額_億円,措置,理由
厚生労働省,厚生労働本省,職務上年金給付費年金特別会計へ繰入,0,⑩責任能力なき者保護,20%,0,0,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,独立行政法人労働政策研究・研修機構運営費,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,男女均等雇用対策費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,高齢者等雇用安定・促進費,87,⑩責任能力なき者保護,20%,17,70,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,失業等給付費等労働保険特別会計へ繰入,230,該当なし,0%,0,230,廃止,強制雇用保険はフリードマン範囲外。失業者はNITで対応。
厚生労働省,厚生労働本省,育児休業給付費等子ども・子育て支援特別会計へ繰入,1113,該当なし,0%,0,1113,廃止,育児休業給付は企業・個人の問題。政府介入はフリードマン否定。
厚生労働省,厚生労働本省,就職支援法事業費労働保険特別会計へ繰入,47,⑩責任能力なき者保護,20%,9,38,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,職業能力開発強化費,52,⑩責任能力なき者保護,20%,10,42,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,若年者等職業能力開発支援費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,障害者等職業能力開発支援費,39,⑩責任能力なき者保護,20%,8,31,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,独立行政法人高齢・障害・求職者雇用支援機構運営費,10,⑩責任能力なき者保護,20%,2,8,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,生活保護等対策費,29513,⑩責任能力なき者保護,70%,20659,8854,縮小（NIT一本化後）,⑩フリードマンが支持する最後のセーフティネット。NIT統合後は管理費減少・給付額は水準次第。
厚生労働省,厚生労働本省,自殺対策費,41,⑩責任能力なき者保護,20%,8,33,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,社会福祉諸費,160,⑩責任能力なき者保護,20%,32,128,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,遺族及留守家族等援護費,40,⑩責任能力なき者保護,20%,8,32,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,戦没者慰霊事業費,40,⑩責任能力なき者保護,20%,8,32,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,中国残留邦人等支援事業費,11,⑩責任能力なき者保護,20%,2,9,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,恩給進達等実施費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,独立行政法人国立重度知的障害者総合施設のぞみの園運営費,13,⑩責任能力なき者保護,20%,3,10,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,特別障害給付金給付費年金特別会計へ繰入,22,⑩責任能力なき者保護,20%,4,18,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,社会福祉施設整備費,44,⑩責任能力なき者保護,20%,9,35,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,独立行政法人福祉医療機構運営費,32,⑩責任能力なき者保護,20%,6,26,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,障害保健福祉費,24067,⑩責任能力なき者保護,70%,16847,7220,縮小（重度障害者保護を維持）,⑩責任能力・稼得能力のない重度障害者への保護は正当機能。軽度支援は民間・家族へ。
厚生労働省,厚生労働本省,公的年金制度等運営諸費,4785,該当なし,0%,0,4785,廃止,年金廃止に伴い運営機能も不要。
厚生労働省,厚生労働本省,基礎年金拠出金等年金特別会計へ繰入,133444,該当なし,0%,0,133444,廃止（NIT移行・経過措置あり）,フリードマンは強制年金に反対。NIT（ネガティブ所得税）で代替。現受給者への移行費用は別途計上。
厚生労働省,厚生労働本省,私的年金制度整備運営費,48,⑩責任能力なき者保護,20%,10,38,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,高齢者日常生活支援等推進費,1856,⑩責任能力なき者保護,20%,371,1485,大幅縮小,同上。軽度は廃止、重度のみ⑩。
厚生労働省,厚生労働本省,介護保険制度運営推進費,35259,⑩責任能力なき者保護,20%,7052,28207,大幅縮小（民間・家族で対応不可の重度者のみ）,⑩重度要介護者への最低限保護。強制保険廃止、民間・家族介護を原則とし、対応不可能な場合のみ公費。
厚生労働省,厚生労働本省,業務取扱費年金特別会計へ繰入,1159,⑩責任能力なき者保護,20%,232,927,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国際機関活動推進費,178,⑩責任能力なき者保護,20%,36,142,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国際協力費,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,厚生労働調査研究等推進費,606,⑩責任能力なき者保護,20%,121,485,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人医薬基盤・健康・栄養研究所運営費,38,⑩責任能力なき者保護,20%,8,30,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省,国立研究開発法人医薬基盤・健康・栄養研究所施設整備費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,検疫所,検疫所共通費,109,⑨外部効果克服,100%,109,0,維持,⑨外部効果（感染症侵入阻止）。
厚生労働省,検疫所,検疫所施設費,1,⑨外部効果克服,100%,1,0,維持,⑨外部効果（感染症侵入阻止）。
厚生労働省,検疫所,検疫業務等実施費,20,⑨外部効果克服,100%,20,0,維持,⑨外部効果（感染症侵入阻止）。
厚生労働省,検疫所,輸入食品検査業務実施費,19,⑩責任能力なき者保護,20%,4,15,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,国立ハンセン病療養所,国立ハンセン病療養所共通費,185,⑩責任能力なき者保護,20%,37,148,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,国立ハンセン病療養所,国立ハンセン病療養所施設費,24,⑩責任能力なき者保護,20%,5,19,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,国立ハンセン病療養所,国立ハンセン病療養所運営費,101,⑩責任能力なき者保護,20%,20,81,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省試験研究機関,厚生労働本省試験研究所共通費,44,⑩責任能力なき者保護,20%,9,35,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省試験研究機関,厚生労働本省試験研究所施設費,0,⑩責任能力なき者保護,20%,0,0,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省試験研究機関,血清等製造及検定費,0,⑩責任能力なき者保護,20%,0,0,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,厚生労働本省試験研究機関,厚生労働本省試験研究所試験研究費,17,⑩責任能力なき者保護,20%,3,14,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,国立障害者リハビリテーションセンター,国立障害者リハビリテーションセンター共通費,56,⑩責任能力なき者保護,20%,11,45,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,国立障害者リハビリテーションセンター,国立障害者リハビリテーションセンター施設費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,国立障害者リハビリテーションセンター,国立障害者リハビリテーションセンター運営費,18,⑩責任能力なき者保護,20%,4,14,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,地方厚生局,地方厚生局共通費,152,⑩責任能力なき者保護,20%,30,122,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,地方厚生局,地方厚生局施設費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,地方厚生局,保険医療機関等指導監督等実施費,14,⑩責任能力なき者保護,20%,3,11,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,地方厚生局,医師等国家試験実施費,13,⑩責任能力なき者保護,20%,3,10,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,地方厚生局,麻薬・覚醒剤等対策費,6,⑩責任能力なき者保護,20%,1,5,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,地方厚生局,医療観察等実施費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,都道府県労働局,都道府県労働局共通費,937,⑩責任能力なき者保護,20%,187,750,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,都道府県労働局,都道府県労働局施設費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,都道府県労働局,労働条件確保・改善対策費,8,⑩責任能力なき者保護,20%,2,6,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,都道府県労働局,男女均等雇用対策費,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,都道府県労働局,個別労働紛争対策費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,都道府県労働局,職業紹介事業等実施費,0,⑩責任能力なき者保護,20%,0,0,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,都道府県労働局,高齢者等雇用安定・促進費,29,⑩責任能力なき者保護,20%,6,23,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,都道府県労働局,若年者等職業能力開発支援費,10,⑩責任能力なき者保護,20%,2,8,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,中央労働委員会,中央労働委員会共通費,13,⑩責任能力なき者保護,20%,3,10,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
厚生労働省,中央労働委員会,労使関係等安定形成促進費,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障事業は原則廃止。⑩の最小限のみ。
農林水産省,農林水産本省,農林水産本省共通費,851,該当なし,0%,0,851,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農林水産本省施設費,3,該当なし,0%,0,3,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,国内食料供給対策費,3585,該当なし,0%,0,3585,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,牛肉等関税財源国内食料供給対策費,617,該当なし,0%,0,617,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,国内食料供給対策費食料安定供給特別会計へ繰入,1001,該当なし,0%,0,1001,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,独立行政法人農畜産業振興機構運営費,30,該当なし,0%,0,30,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,独立行政法人家畜改良センター運営費,80,該当なし,0%,0,80,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農業経営安定事業費等食料安定供給特別会計へ繰入,1371,該当なし,0%,0,1371,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農林水産政策研究所,11,該当なし,0%,0,11,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食料自給力確保対策費,2688,該当なし,0%,0,2688,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,海岸事業費,38,該当なし,0%,0,38,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,国立研究開発法人農業・食品産業技術総合研究機構運営費,19,該当なし,0%,0,19,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,2,該当なし,0%,0,2,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,独立行政法人農業者年金基金運営費,46,該当なし,0%,0,46,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,共済掛金国庫負担金等食料安定供給特別会計へ繰入,556,該当なし,0%,0,556,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農業農村整備事業費食料安定供給特別会計へ繰入,22,該当なし,0%,0,22,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,知的財産保護・活用推進費,4,該当なし,0%,0,4,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,動植物防疫対策費,67,該当なし,0%,0,67,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食料供給確保対策費,1,該当なし,0%,0,1,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,輸入安定化促進対策費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,国際戦略対策費,114,該当なし,0%,0,114,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農林水産物・食品輸出促進対策費,62,該当なし,0%,0,62,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食品産業海外展開等促進対策費,2,該当なし,0%,0,2,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食品アクセス確保対策費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食品産業発展対策費,7,該当なし,0%,0,7,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農業・食品産業強化対策費,120,該当なし,0%,0,120,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食品等取引適正化対策費,2,該当なし,0%,0,2,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食品安全・消費者信頼確保対策費,31,該当なし,0%,0,31,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,独立行政法人農林水産消費安全技術センター運営費,71,該当なし,0%,0,71,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,独立行政法人農林水産消費安全技術センター施設整備費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農林水産業環境負荷低減推進費,7,該当なし,0%,0,7,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食品産業環境負荷低減対策費,1,該当なし,0%,0,1,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,多面的機能発揮促進対策費,814,該当なし,0%,0,814,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食育推進費,1,該当なし,0%,0,1,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,食文化保護・継承対策費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,消費者行動変容促進費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農業農村整備事業費,2023,該当なし,0%,0,2023,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農山漁村地域整備事業費,626,該当なし,0%,0,626,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農山漁村活性化対策費,170,該当なし,0%,0,170,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農林水産統計調査費,44,該当なし,0%,0,44,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,風水害等対策費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,受託工事等実施費,74,該当なし,0%,0,74,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,海岸事業調査諸費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農業農村整備事業調査諸費,10,該当なし,0%,0,10,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農業施設災害復旧事業費,74,該当なし,0%,0,74,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省,農業施設災害関連事業費,2,該当なし,0%,0,2,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産本省検査指導機関,農林水産本省検査指導所,176,⑨外部効果克服,70%,123,53,縮小,⑨食品安全の外部効果（情報の非対称性含む）。基準設定・監視は正当。
農林水産省,農林水産本省検査指導機関,農林水産本省検査指導所施設費,2,⑨外部効果克服,70%,1,1,縮小,⑨食品安全の外部効果（情報の非対称性含む）。基準設定・監視は正当。
農林水産省,農林水産技術会議,農林水産技術会議共通費,22,該当なし,0%,0,22,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産技術会議,農林水産技術会議施設費,3,該当なし,0%,0,3,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産技術会議,農林水産業イノベーション創出・技術開発推進費,28,該当なし,0%,0,28,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産技術会議,国立研究開発法人農業・食品産業技術総合研究機構運営費,535,該当なし,0%,0,535,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,農林水産技術会議,国立研究開発法人国際農林水産業研究センター運営費,40,該当なし,0%,0,40,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,地方農政局,地方農政局,462,該当なし,0%,0,462,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,地方農政局,地方農政局施設費,4,該当なし,0%,0,4,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,地方農政局,海岸事業工事諸費,4,該当なし,0%,0,4,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,地方農政局,農業農村整備事業工事諸費,210,該当なし,0%,0,210,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,地方農政局,農業施設災害復旧事業等工事諸費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,北海道農政事務所,北海道農政事務所,40,該当なし,0%,0,40,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,林野庁共通費,347,該当なし,0%,0,347,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,林野庁施設費,10,該当なし,0%,0,10,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,国立研究開発法人森林研究・整備機構運営費,108,該当なし,0%,0,108,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,森林整備・保全費,44,⑨外部効果克服,30%,13,31,大幅縮小,⑨CO2吸収・水源涵養は外部効果。ただし補助金ではなく環境税・クレジット市場が適切。
農林水産省,林野庁,国有林野産物等売払及管理処分業務費,130,該当なし,0%,0,130,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,治山事業費,506,⑨外部効果克服,70%,354,152,縮小,⑨山地崩壊・土砂流出は外部効果（下流域への被害）。治山は正当化可能。
農林水産省,林野庁,森林整備事業費,1137,⑨外部効果克服,30%,341,796,大幅縮小,⑨CO2吸収・水源涵養は外部効果。ただし補助金ではなく環境税・クレジット市場が適切。
農林水産省,林野庁,借入金利子国有林野事業債務管理特別会計へ繰入,77,該当なし,0%,0,77,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,国有林野事業収入財源借入金債務処理費国有林野事業債務管理特別会計へ繰入,270,該当なし,0%,0,270,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,林業振興対策費,50,該当なし,0%,0,50,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,林産物供給等振興対策費,19,該当なし,0%,0,19,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,森林整備・林業等振興対策費,65,⑨外部効果克服,30%,20,45,大幅縮小,⑨CO2吸収・水源涵養は外部効果。ただし補助金ではなく環境税・クレジット市場が適切。
農林水産省,林野庁,治山事業工事諸費,48,⑨外部効果克服,70%,34,14,縮小,⑨山地崩壊・土砂流出は外部効果（下流域への被害）。治山は正当化可能。
農林水産省,林野庁,森林整備事業工事諸費,70,⑨外部効果克服,30%,21,49,大幅縮小,⑨CO2吸収・水源涵養は外部効果。ただし補助金ではなく環境税・クレジット市場が適切。
農林水産省,林野庁,山林施設災害復旧事業費,47,該当なし,0%,0,47,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,山林施設災害関連事業費,46,該当なし,0%,0,46,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,林野庁,山林施設災害復旧事業等工事諸費,0,該当なし,0%,0,0,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,水産庁共通費,92,該当なし,0%,0,92,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,国立研究開発法人水産研究・教育機構運営費,180,該当なし,0%,0,180,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,国立研究開発法人水産研究・教育機構船舶建造費,24,該当なし,0%,0,24,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,国際戦略対策費,6,該当なし,0%,0,6,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,水産資源管理対策費,260,⑨外部効果克服,70%,182,78,縮小,⑨漁業資源の管理は共有資源の外部効果問題。漁獲枠設定・監視は政府機能。
農林水産省,水産庁,船舶建造費,2,該当なし,0%,0,2,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,水産業振興対策費,232,該当なし,0%,0,232,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,保険料国庫負担金等食料安定供給特別会計へ繰入,187,該当なし,0%,0,187,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,漁村活性化対策費,43,該当なし,0%,0,43,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,海岸事業費,30,該当なし,0%,0,30,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
農林水産省,水産庁,水産業強化対策費,18,該当なし,0%,0,18,廃止（農業補助廃止）,農業補助金・食料自給率政策は比較優位に反し非効率。市場が資源配分を担う。
