所管,組織,項名,目名,元額_億円,フリードマン根拠,残存割合,残す額_億円,削減額_億円,措置,理由
厚生労働省,厚生労働本省,厚生労働本省共通費,基礎年金等国家公務員共済組合負担金,102,⑩責任能力なき者保護,20%,20,82,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,厚生労働本省共通費,育児休業手当金等国家公務員共済組合負担金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,厚生労働本省共通費,賠償償還及払戻金,26,⑩責任能力なき者保護,20%,5,21,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,厚生労働本省施設費,施設整備費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療提供体制確保対策費,医療提供体制確保対策等委託費,37,⑨外部効果克服,30%,11,26,縮小,⑨医療外部効果（感染症・公衆衛生）のみ
厚生労働省,厚生労働本省,医療提供体制確保対策費,医療施設運営費等補助金,122,⑨外部効果克服,30%,37,85,縮小,⑨医療外部効果（感染症・公衆衛生）のみ
厚生労働省,厚生労働本省,医療提供体制確保対策費,臨床研修費等補助金,122,⑨外部効果克服,30%,37,85,縮小,⑨医療外部効果（感染症・公衆衛生）のみ
厚生労働省,厚生労働本省,医療従事者等確保対策費,委員手当,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療従事者等確保対策費,委員等旅費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療従事者等確保対策費,医師等国家試験業務庁費,5,⑩責任能力なき者保護,20%,1,4,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療情報化等推進費,社会保障関係情報化業務庁費,7,⑩責任能力なき者保護,20%,1,6,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療情報化等推進費,医療情報化基盤整備等委託費,7,⑩責任能力なき者保護,20%,1,6,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療情報化等推進費,地域診療情報連携推進費補助金,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療安全確保推進費,医療施設運営費等補助金,13,⑩責任能力なき者保護,20%,3,10,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,国立研究開発法人国立がん研究センター運営費,国立研究開発法人国立がん研究センター運営費交付金,66,⑩責任能力なき者保護,20%,13,53,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,国立研究開発法人国立循環器病研究センター運営費,国立研究開発法人国立循環器病研究センター運営費交付金,42,⑩責任能力なき者保護,20%,8,34,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,国立研究開発法人国立精神・神経医療研究センター運営費,国立研究開発法人国立精神・神経医療研究センター運営費交付金,43,⑩責任能力なき者保護,20%,9,34,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,国立研究開発法人国立精神・神経医療研究センター施設整備費,国立研究開発法人国立精神・神経医療研究センター施設整備費補助金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,国立研究開発法人国立成育医療研究センター運営費,国立研究開発法人国立成育医療研究センター運営費交付金,49,⑩責任能力なき者保護,20%,10,39,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,国立研究開発法人国立成育医療研究センター施設整備費,国立研究開発法人国立成育医療研究センター施設整備費補助金,17,⑩責任能力なき者保護,20%,3,14,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,国立研究開発法人国立長寿医療研究センター運営費,国立研究開発法人国立長寿医療研究センター運営費交付金,31,⑩責任能力なき者保護,20%,6,25,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,国立研究開発法人国立長寿医療研究センター施設整備費,国立研究開発法人国立長寿医療研究センター施設整備費補助金,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,感染症対策費,新型インフルエンザ予防接種健康被害給付金,1,⑨外部効果克服,80%,1,0,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,健康対策関係業務庁費,107,⑨外部効果克服,80%,86,21,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,医薬品製剤化等業務庁費,4,⑨外部効果克服,80%,3,1,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,感染症流行予測調査費,2,⑨外部効果克服,80%,2,0,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,ワクチン等購入費,11,⑨外部効果克服,80%,9,2,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,医薬品等保管料,2,⑨外部効果克服,80%,2,0,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,医薬品買上費,19,⑨外部効果克服,80%,15,4,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,エイズ予防対策事業委託費,3,⑨外部効果克服,80%,2,1,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,健康対策事業委託費,14,⑨外部効果克服,80%,11,3,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,疾病予防対策事業費等補助金,143,⑨外部効果克服,80%,114,29,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,結核研究所補助金,5,⑨外部効果克服,80%,4,1,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,結核医療費補助金,3,⑨外部効果克服,80%,2,1,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,医療施設運営費等補助金,10,⑨外部効果克服,80%,8,2,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,国立健康危機管理研究機構施設周辺安全対策等事業費補助金,2,⑨外部効果克服,80%,2,0,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,予防接種対策費補助金,2,⑨外部効果克服,80%,2,0,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,結核医療費負担金,27,⑨外部効果克服,80%,22,5,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,感染症予防事業費等負担金,25,⑨外部効果克服,80%,20,5,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,感染症医療費負担金,1,⑨外部効果克服,80%,1,0,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,予防接種対策費負担金,12,⑨外部効果克服,80%,10,2,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,新型コロナウイルス予防接種健康被害給付費負担金,4,⑨外部効果克服,80%,3,1,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,感染症対策費,特定Ｂ型肝炎ウイルス感染者給付金等支給業務費交付金,572,⑨外部効果克服,80%,458,114,維持（縮小）,⑨感染症は典型的外部効果
厚生労働省,厚生労働本省,国立健康危機管理研究機構運営費,国立健康危機管理研究機構運営費交付金,177,⑩責任能力なき者保護,20%,35,142,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,特定疾患等対策費,国立ハンセン病療養所退所者等給与金及特定配偶者等支援金,19,⑨外部効果克服・⑩責任能力なき者保護,50%,10,9,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,ハンセン病名誉回復事業等庁費,2,⑨外部効果克服・⑩責任能力なき者保護,50%,1,1,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,健康対策関係業務庁費,1,⑨外部効果克服・⑩責任能力なき者保護,50%,0,1,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,ハンセン病対策事業委託費,9,⑨外部効果克服・⑩責任能力なき者保護,50%,4,5,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,ハンセン病療養所費補助金,1,⑨外部効果克服・⑩責任能力なき者保護,50%,0,1,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,厚生労働科学研究費補助金,6,⑨外部効果克服・⑩責任能力なき者保護,50%,3,3,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,難病等情報提供事業費補助金,3,⑨外部効果克服・⑩責任能力なき者保護,50%,2,1,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,疾病予防対策事業費等補助金,25,⑨外部効果克服・⑩責任能力なき者保護,50%,12,13,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,小児慢性特定疾病対策費補助金,9,⑨外部効果克服・⑩責任能力なき者保護,50%,4,5,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,難病医療費等負担金,1376,⑨外部効果克服・⑩責任能力なき者保護,50%,688,688,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,小児慢性特定疾病医療費負担金,181,⑨外部効果克服・⑩責任能力なき者保護,50%,90,91,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,特定疾患等対策費,小児慢性特定疾病児童等自立支援事業費負担金,9,⑨外部効果克服・⑩責任能力なき者保護,50%,4,5,縮小,⑨⑩難病・指定疾患は一部正当化
厚生労働省,厚生労働本省,移植医療推進費,移植対策事業費補助金,37,⑩責任能力なき者保護,20%,7,30,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆被爆者医療費,237,⑤契約履行強制・⑩責任能力なき者保護,100%,237,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆被爆者医療費審査支払事務費,8,⑤契約履行強制・⑩責任能力なき者保護,100%,8,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆症調査研究等委託費,33,⑤契約履行強制・⑩責任能力なき者保護,100%,33,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,特定疾患調査委託費,4,⑤契約履行強制・⑩責任能力なき者保護,100%,4,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆死没者追悼平和祈念館運営委託費,5,⑤契約履行強制・⑩責任能力なき者保護,100%,5,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆被爆者保健福祉施設運営費等補助金,68,⑤契約履行強制・⑩責任能力なき者保護,100%,68,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,放射線影響研究所補助金,18,⑤契約履行強制・⑩責任能力なき者保護,100%,18,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,老人保健事業推進費等補助金,6,⑤契約履行強制・⑩責任能力なき者保護,100%,6,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆被爆者介護手当等負担金,12,⑤契約履行強制・⑩責任能力なき者保護,100%,12,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆被爆者健康診断費交付金,23,⑤契約履行強制・⑩責任能力なき者保護,100%,23,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆被爆者手当交付金,587,⑤契約履行強制・⑩責任能力なき者保護,100%,587,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,原爆被爆者等援護対策費,原爆被爆者葬祭料交付金,24,⑤契約履行強制・⑩責任能力なき者保護,100%,24,0,維持（時限的）,⑤政府行為による被害責任
厚生労働省,厚生労働本省,医薬品承認審査等推進費,医薬品審査等業務庁費,5,⑩責任能力なき者保護,20%,1,4,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医薬品承認審査等推進費,医薬品等審査迅速化事業費補助金,6,⑩責任能力なき者保護,20%,1,5,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医薬品承認審査等推進費,医薬品副作用等被害救済事務費等補助金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医薬品安全対策等推進費,医薬品審査等業務庁費,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医薬品安全対策等推進費,検定検査事務等委託費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医薬品安全対策等推進費,医薬品副作用等被害救済事業等補助金,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医薬品安全対策等推進費,医薬品等健康被害者等生活支援補助金,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医薬品安全対策等推進費,賠償償還及払戻金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医薬品適正使用推進費,医療施設運営費等補助金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,血液製剤対策費,医薬品審査等業務庁費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,血液製剤対策費,医薬品等試験調査委託費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,血液製剤対策費,血液確保事業等補助金,5,⑩責任能力なき者保護,20%,1,4,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療技術実用化等推進費,医薬品審査等業務庁費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療技術実用化等推進費,薬事経済調査委託費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療技術実用化等推進費,医薬品等開発支援事業委託費,32,⑩責任能力なき者保護,20%,6,26,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療技術実用化等推進費,医薬品安定供給支援補助金,10,⑩責任能力なき者保護,20%,2,8,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療技術実用化等推進費,医療施設運営費等補助金,4,⑩責任能力なき者保護,20%,1,3,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療提供体制基盤整備費,医療提供体制推進事業費補助金,247,⑨外部効果克服,30%,74,173,縮小,⑨医療外部効果（感染症・公衆衛生）のみ
厚生労働省,厚生労働本省,医療提供体制基盤整備費,医療施設等設備整備費補助金,24,⑨外部効果克服,30%,7,17,縮小,⑨医療外部効果（感染症・公衆衛生）のみ
厚生労働省,厚生労働本省,医療提供体制基盤整備費,医療施設等施設整備費補助金,24,⑨外部効果克服,30%,7,17,縮小,⑨医療外部効果（感染症・公衆衛生）のみ
厚生労働省,厚生労働本省,医療提供体制基盤整備費,医療介護提供体制改革推進交付金,647,⑨外部効果克服,30%,194,453,縮小,⑨医療外部効果（感染症・公衆衛生）のみ
厚生労働省,厚生労働本省,医療提供体制基盤整備費,医療提供体制施設整備交付金,38,⑨外部効果克服,30%,11,27,縮小,⑨医療外部効果（感染症・公衆衛生）のみ
厚生労働省,厚生労働本省,独立行政法人医薬品医療機器総合機構運営費,独立行政法人医薬品医療機器総合機構審査等勘定運営費交付金,26,⑩責任能力なき者保護,20%,5,21,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療保険給付諸費,庁費,1,該当なし,0%,0,1,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,医療給付適正化業務庁費,3,該当なし,0%,0,3,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,医療保険制度関係業務庁費,8,該当なし,0%,0,8,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,土地建物借料,1,該当なし,0%,0,1,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,後期高齢者医療制度事業費補助金,52,該当なし,0%,0,52,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,後期高齢者医療制度関係業務事業費補助金,9,該当なし,0%,0,9,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,高齢者医療運営円滑化等補助金,958,該当なし,0%,0,958,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,高齢者医療制度円滑運営事業費補助金,2,該当なし,0%,0,2,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,全国健康保険協会保険給付費等補助金,11764,該当なし,0%,0,11764,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,全国健康保険協会後期高齢者医療費支援金等補助金,1,該当なし,0%,0,1,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険組合療養給付費補助金,1776,該当なし,0%,0,1776,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険組合後期高齢者医療費支援金等補助金,644,該当なし,0%,0,644,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険組合高額医療費共同事業補助金,60,該当なし,0%,0,60,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険団体連合会等補助金,16,該当なし,0%,0,16,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険制度関係業務事業費補助金,9,該当なし,0%,0,9,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,後期高齢者医療給付費等負担金,47173,該当なし,0%,0,47173,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,健康保険組合連合会交付金交付事業費負担金,300,該当なし,0%,0,300,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,全国健康保険協会事務費負担金,44,該当なし,0%,0,44,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,健康保険組合事務費負担金,38,該当なし,0%,0,38,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険療養給付費等負担金,16026,該当なし,0%,0,16026,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険後期高齢者医療費支援金等負担金,5440,該当なし,0%,0,5440,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険組合事務費負担金,22,該当なし,0%,0,22,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,後期高齢者医療等財政調整交付金,15258,該当なし,0%,0,15258,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,高齢者医療特別負担調整交付金,200,該当なし,0%,0,200,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険財政調整交付金,5623,該当なし,0%,0,5623,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険後期高齢者医療費支援金等財政調整交付金,1530,該当なし,0%,0,1530,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,医療保険給付諸費,国民健康保険保険者努力支援交付金,1292,該当なし,0%,0,1292,廃止（民間保険へ）,強制医療保険廃止
厚生労働省,厚生労働本省,健康保険事業借入金諸費年金特別会計へ繰入,健康保険事業借入金諸費年金特別会計へ繰入,359,該当なし,0%,0,359,廃止,医療保険廃止に伴い不要
厚生労働省,厚生労働本省,医療費適正化推進費,医療費適正化対策推進業務庁費,7,⑩責任能力なき者保護,20%,1,6,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療費適正化推進費,医療費適正化対策推進業務委託費,21,⑩責任能力なき者保護,20%,4,17,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,医療費適正化推進費,病床転換助成事業交付金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,地域保健対策費,保健衛生施設等設備整備費補助金,25,⑩責任能力なき者保護,20%,5,20,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,地域保健対策費,地域保健活動推進費補助金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,地域保健対策費,疾病予防対策事業費等補助金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,保健衛生施設整備費,保健衛生施設等施設整備費補助金,37,⑩責任能力なき者保護,20%,7,30,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,社会保障関係情報化業務庁費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,健康対策関係業務庁費,11,⑩責任能力なき者保護,20%,2,9,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,予防・健康増進関係業務庁費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,国民健康・栄養調査委託費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,衛生関係指導者養成等委託費,8,⑩責任能力なき者保護,20%,2,6,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,疾病予防対策事業費等補助金,134,⑩責任能力なき者保護,20%,27,107,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,全国健康保険協会特定健康診査・保健指導補助金,7,⑩責任能力なき者保護,20%,1,6,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,健康保険組合特定健康診査・保健指導補助金,30,⑩責任能力なき者保護,20%,6,24,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,国民健康保険組合特定健康診査・保健指導補助金,6,⑩責任能力なき者保護,20%,1,5,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康増進対策費,国民健康保険特定健康診査・保健指導負担金,132,⑩責任能力なき者保護,20%,26,106,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康危機管理推進費,社会保障関係情報化業務庁費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康危機管理推進費,医薬品買上費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康危機管理推進費,衛生関係指導者養成等委託費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,健康危機管理推進費,疾病予防対策事業費等補助金,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,食品等安全確保対策費,食品等試験検査費,3,⑩責任能力なき者保護,20%,1,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,食品等安全確保対策費,油症患者健康実態調査地方公共団体委託費,4,⑩責任能力なき者保護,20%,1,3,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,食品等安全確保対策費,衛生関係指導者養成等委託費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,麻薬・覚醒剤等対策費,麻薬等乱用防止対策業務庁費,5,⑩責任能力なき者保護,20%,1,4,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,麻薬・覚醒剤等対策費,保健福祉調査委託費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,麻薬・覚醒剤等対策費,国際連合薬物犯罪事務所拠出金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,化学物質安全対策費,医薬品審査等業務庁費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,化学物質安全対策費,家庭用品等試験検査費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,生活衛生対策費,生活衛生関係営業対策事業費補助金,12,⑩責任能力なき者保護,20%,2,10,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,生活衛生対策費,株式会社日本政策金融公庫補給金,29,⑩責任能力なき者保護,20%,6,23,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,労働条件確保・改善対策費,労働条件研究調査等委託費,2,⑩責任能力なき者保護,20%,0,2,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,中小企業最低賃金引上げ支援対策費,諸謝金,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,中小企業最低賃金引上げ支援対策費,労働条件研究調査等委託費,1,⑩責任能力なき者保護,20%,0,1,大幅縮小,フリードマン範囲外の社会保障は原則廃止
厚生労働省,厚生労働本省,中小企業最低賃金引上げ支援対策費,中小企業最低賃金引上げ支援対策費補助金,19,⑩責任能力なき者保護,20%,4,15,大幅縮小,フリードマン範囲外の社会保障は原則廃止
