所管,項名,目名,元額_億円,分類,残存率,残す額_億円,理由
厚生労働省,検疫所共通費,超過勤務手当,5,⑨,100%,5,検疫所共通費に係る超過勤務手当。検疫所（感染症の国境防止という公共衛生インフラ⑨）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
厚生労働省,検疫所共通費,短時間勤務職員給与,3,⑨,100%,3,検疫所共通費に係る短時間勤務職員給与。検疫所（感染症の国境防止という公共衛生インフラ⑨）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
厚生労働省,検疫所共通費,庁費,4,⑨,100%,4,検疫所共通費に係る庁費。検疫所（感染症の国境防止という公共衛生インフラ⑨）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,検疫所共通費,公共施設等維持管理運営費,3,⑨,100%,3,検疫所共通費に係る公共施設等維持管理運営費。検疫所（感染症の国境防止という公共衛生インフラ⑨）のために整備した施設の継続的維持・運営コスト
厚生労働省,検疫所施設費,不動産購入費,1,⑨,100%,1,検疫所施設費に係る不動産購入費。検疫所施設整備（感染症国境防止⑨の拠点施設）の拠点施設として必要な土地・建物の購入コスト
厚生労働省,検疫業務等実施費,検疫旅費,1,一部⑨/一部⑩,50%,0,検疫業務等実施費に係る検疫旅費。厚生労働省の費目（公衆衛生⑨または社会福祉⑩の観点で評価される費用）に伴う現地視察・監督・会議出張費
厚生労働省,検疫業務等実施費,検疫庁費,16,一部⑨/一部⑩,50%,8,検疫業務等実施費に係る検疫庁費。厚生労働省の費目（公衆衛生⑨または社会福祉⑩の観点で評価される費用）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,検疫業務等実施費,土地建物借料,3,一部⑨/一部⑩,50%,2,検疫業務等実施費に係る土地建物借料。厚生労働省の費目（公衆衛生⑨または社会福祉⑩の観点で評価される費用）の拠点施設として民間施設を借上げるコスト
厚生労働省,輸入食品検査業務実施費,検疫庁費,1,⑨,100%,1,輸入食品検査業務実施費に係る検疫庁費。輸入食品の安全検査（外国製品の情報非対称⑨の是正）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,輸入食品検査業務実施費,食品試験検査費,18,⑨,100%,18,輸入食品検査業務実施費に係る食品試験検査費。輸入食品の安全検査（外国製品の情報非対称⑨の是正）の遂行に伴う経費
厚生労働省,国立ハンセン病療養所共通費,職員基本給,102,該当なし,100%,102,国立ハンセン病療養所共通費に係る職員基本給。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
厚生労働省,国立ハンセン病療養所共通費,職員諸手当,56,⑩,100%,56,国立ハンセン病療養所共通費に係る職員諸手当（扶養・通勤・地域等）。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
厚生労働省,国立ハンセン病療養所共通費,超過勤務手当,9,⑩,100%,9,国立ハンセン病療養所共通費に係る超過勤務手当。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
厚生労働省,国立ハンセン病療養所共通費,非常勤職員手当,1,⑩,100%,1,国立ハンセン病療養所共通費に係る非常勤職員手当。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
厚生労働省,国立ハンセン病療養所共通費,短時間勤務職員給与,13,⑩,100%,13,国立ハンセン病療養所共通費に係る短時間勤務職員給与。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
厚生労働省,国立ハンセン病療養所共通費,児童手当,2,⑩,100%,2,国立ハンセン病療養所共通費に係る児童手当。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
厚生労働省,国立ハンセン病療養所共通費,庁費,2,⑩,100%,2,国立ハンセン病療養所共通費に係る庁費。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,国立ハンセン病療養所共通費,各所修繕,1,⑩,100%,1,国立ハンセン病療養所共通費に係る各所修繕。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）を実施するための施設・設備の維持・補修コスト
厚生労働省,国立ハンセン病療養所施設費,施設施工庁費,1,⑩,100%,1,国立ハンセン病療養所施設費に係る施設施工庁費。ハンセン病療養所の施設整備（国家補償的医療⑩の施設基盤）の拠点施設整備工事を管理するためのコスト
厚生労働省,国立ハンセン病療養所施設費,施設整備費,22,⑩,100%,22,国立ハンセン病療養所施設費に係る施設整備費。ハンセン病療養所の施設整備（国家補償的医療⑩の施設基盤）の遂行に伴う経費
厚生労働省,国立ハンセン病療養所運営費,諸謝金,2,⑩,100%,2,国立ハンセン病療養所運営費に係る諸謝金。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の遂行に伴う経費
厚生労働省,国立ハンセン病療養所運営費,入所者給与金,1,⑩,100%,1,国立ハンセン病療養所運営費に係る入所者給与金。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の遂行に伴う経費
厚生労働省,国立ハンセン病療養所運営費,入所者療養諸費,80,⑩,100%,80,国立ハンセン病療養所運営費に係る入所者療養諸費。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の遂行に伴う経費
厚生労働省,国立ハンセン病療養所運営費,医療機器整備費,4,⑩,100%,4,国立ハンセン病療養所運営費に係る医療機器整備費。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の遂行に伴う経費
厚生労働省,国立ハンセン病療養所運営費,医薬品等購入費,9,⑩,100%,9,国立ハンセン病療養所運営費に係る医薬品等購入費。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の遂行に伴う経費
厚生労働省,国立ハンセン病療養所運営費,入所者食糧費,5,⑩,100%,5,国立ハンセン病療養所運営費に係る入所者食糧費。ハンセン病療養所（強制隔離政策被害者への国家補償的医療⑩）の遂行に伴う経費
厚生労働省,厚生労働本省試験研究所共通費,職員基本給,24,該当なし,100%,24,厚生労働本省試験研究所共通費に係る職員基本給。厚生労働省の試験研究機関（公衆衛生・福祉の公共財的知識⑨⑩）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
厚生労働省,厚生労働本省試験研究所共通費,職員諸手当,13,⑨/⑩,100%,13,厚生労働本省試験研究所共通費に係る職員諸手当（扶養・通勤・地域等）。厚生労働省の試験研究機関（公衆衛生・福祉の公共財的知識⑨⑩）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
厚生労働省,厚生労働本省試験研究所共通費,超過勤務手当,1,⑨/⑩,100%,1,厚生労働本省試験研究所共通費に係る超過勤務手当。厚生労働省の試験研究機関（公衆衛生・福祉の公共財的知識⑨⑩）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
厚生労働省,厚生労働本省試験研究所共通費,短時間勤務職員給与,1,⑨/⑩,100%,1,厚生労働本省試験研究所共通費に係る短時間勤務職員給与。厚生労働省の試験研究機関（公衆衛生・福祉の公共財的知識⑨⑩）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
厚生労働省,厚生労働本省試験研究所共通費,庁費,3,⑨/⑩,100%,3,厚生労働本省試験研究所共通費に係る庁費。厚生労働省の試験研究機関（公衆衛生・福祉の公共財的知識⑨⑩）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,厚生労働本省試験研究所共通費,土地建物借料,2,⑨/⑩,100%,2,厚生労働本省試験研究所共通費に係る土地建物借料。厚生労働省の試験研究機関（公衆衛生・福祉の公共財的知識⑨⑩）の拠点施設として民間施設を借上げるコスト
厚生労働省,厚生労働本省試験研究所試験研究費,庁費,1,⑨/⑩,100%,1,厚生労働本省試験研究所試験研究費に係る庁費。厚生労働省の試験研究機関（公衆衛生・福祉の公共財的知識⑨⑩）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,厚生労働本省試験研究所試験研究費,試験研究費,15,⑨/⑩,100%,15,厚生労働本省試験研究所試験研究費に係る試験研究費。厚生労働省の試験研究機関（公衆衛生・福祉の公共財的知識⑨⑩）の遂行に伴う経費
厚生労働省,国立障害者リハビリテーションセンター共通費,職員基本給,28,該当なし,100%,28,国立障害者リハビリテーションセンター共通費に係る職員基本給。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
厚生労働省,国立障害者リハビリテーションセンター共通費,職員諸手当,14,⑩,100%,14,国立障害者リハビリテーションセンター共通費に係る職員諸手当（扶養・通勤・地域等）。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
厚生労働省,国立障害者リハビリテーションセンター共通費,超過勤務手当,2,⑩,100%,2,国立障害者リハビリテーションセンター共通費に係る超過勤務手当。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
厚生労働省,国立障害者リハビリテーションセンター共通費,短時間勤務職員給与,1,⑩,100%,1,国立障害者リハビリテーションセンター共通費に係る短時間勤務職員給与。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
厚生労働省,国立障害者リハビリテーションセンター共通費,庁費,9,⑩,100%,9,国立障害者リハビリテーションセンター共通費に係る庁費。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,国立障害者リハビリテーションセンター施設費,施設整備費,1,⑩,100%,1,国立障害者リハビリテーションセンター施設費に係る施設整備費。障害者リハビリ施設の整備（市場提供不可の障害者医療施設⑩）の遂行に伴う経費
厚生労働省,国立障害者リハビリテーションセンター運営費,非常勤職員手当,1,⑩,100%,1,国立障害者リハビリテーションセンター運営費に係る非常勤職員手当。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
厚生労働省,国立障害者リハビリテーションセンター運営費,諸謝金,2,⑩,100%,2,国立障害者リハビリテーションセンター運営費に係る諸謝金。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の遂行に伴う経費
厚生労働省,国立障害者リハビリテーションセンター運営費,更生援護庁費,11,⑩,100%,11,国立障害者リハビリテーションセンター運営費に係る更生援護庁費。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,国立障害者リハビリテーションセンター運営費,医療機器整備費,1,⑩,100%,1,国立障害者リハビリテーションセンター運営費に係る医療機器整備費。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の遂行に伴う経費
厚生労働省,国立障害者リハビリテーションセンター運営費,入所施設器材整備費,1,⑩,100%,1,国立障害者リハビリテーションセンター運営費に係る入所施設器材整備費。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の遂行に伴う経費
厚生労働省,国立障害者リハビリテーションセンター運営費,医薬品等購入費,1,⑩,100%,1,国立障害者リハビリテーションセンター運営費に係る医薬品等購入費。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の遂行に伴う経費
厚生労働省,国立障害者リハビリテーションセンター運営費,入所者食糧費,1,⑩,100%,1,国立障害者リハビリテーションセンター運営費に係る入所者食糧費。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の遂行に伴う経費
厚生労働省,国立障害者リハビリテーションセンター運営費,義肢製作原材料費,1,⑩,100%,1,国立障害者リハビリテーションセンター運営費に係る義肢製作原材料費。障害者のリハビリ・医療（市場過少供給のセーフティネット⑩）の遂行に伴う経費
厚生労働省,地方厚生局共通費,職員基本給,83,該当なし,100%,83,地方厚生局共通費に係る職員基本給。地方厚生局（医療機関監督・介護保険審査⑨⑩の地域執行）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
厚生労働省,地方厚生局共通費,職員諸手当,45,⑨/⑩,100%,45,地方厚生局共通費に係る職員諸手当（扶養・通勤・地域等）。地方厚生局（医療機関監督・介護保険審査⑨⑩の地域執行）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
厚生労働省,地方厚生局共通費,超過勤務手当,6,⑨/⑩,100%,6,地方厚生局共通費に係る超過勤務手当。地方厚生局（医療機関監督・介護保険審査⑨⑩の地域執行）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
厚生労働省,地方厚生局共通費,短時間勤務職員給与,3,⑨/⑩,100%,3,地方厚生局共通費に係る短時間勤務職員給与。地方厚生局（医療機関監督・介護保険審査⑨⑩の地域執行）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
厚生労働省,地方厚生局共通費,児童手当,1,⑨/⑩,100%,1,地方厚生局共通費に係る児童手当。地方厚生局（医療機関監督・介護保険審査⑨⑩の地域執行）の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
厚生労働省,地方厚生局共通費,庁費,5,⑨/⑩,100%,5,地方厚生局共通費に係る庁費。地方厚生局（医療機関監督・介護保険審査⑨⑩の地域執行）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,地方厚生局共通費,移転費,2,⑨/⑩,100%,2,地方厚生局共通費に係る移転費。地方厚生局（医療機関監督・介護保険審査⑨⑩の地域執行）の遂行に伴う経費
厚生労働省,地方厚生局共通費,土地建物借料,4,⑨/⑩,100%,4,地方厚生局共通費に係る土地建物借料。地方厚生局（医療機関監督・介護保険審査⑨⑩の地域執行）の拠点施設として民間施設を借上げるコスト
厚生労働省,地方厚生局施設費,施設整備費,1,⑨/⑩,100%,1,地方厚生局施設費に係る施設整備費。地方厚生局施設整備（医療・福祉監督⑨⑩の地域拠点施設）の遂行に伴う経費
厚生労働省,保険医療機関等指導監督等実施費,保険医療機関等指導監督等諸謝金,5,⑨,100%,5,保険医療機関等指導監督等実施費に係る保険医療機関等指導監督等諸謝金。診療報酬の適正請求確認（不正請求抑制という情報非対称⑨の是正）の遂行に伴う経費
厚生労働省,保険医療機関等指導監督等実施費,保険医療機関等指導監督等業務庁費,8,⑨,100%,8,保険医療機関等指導監督等実施費に係る保険医療機関等指導監督等業務庁費。診療報酬の適正請求確認（不正請求抑制という情報非対称⑨の是正）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,医師等国家試験実施費,医師等国家試験業務庁費,13,⑨,100%,13,医師等国家試験実施費に係る医師等国家試験業務庁費。医師・薬剤師等の国家試験（資格制度という情報非対称⑨の是正）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,麻薬・覚醒剤等対策費,麻薬等乱用防止対策旅費,1,①,100%,1,麻薬・覚醒剤等対策費に係る麻薬等乱用防止対策旅費。薬物規制（法執行①と公衆衛生⑨の境界）に伴う現地視察・監督・会議出張費
厚生労働省,麻薬・覚醒剤等対策費,麻薬等乱用防止対策業務庁費,5,①,100%,5,麻薬・覚醒剤等対策費に係る麻薬等乱用防止対策業務庁費。薬物規制（法執行①と公衆衛生⑨の境界）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,麻薬・覚醒剤等対策費,麻薬等乱用防止対策活動費,1,①,100%,1,麻薬・覚醒剤等対策費に係る麻薬等乱用防止対策活動費。薬物規制（法執行①と公衆衛生⑨の境界）の遂行に伴う経費
厚生労働省,医療観察等実施費,心神喪失者等医療観察法入院決定者移送費,1,①,100%,1,医療観察等実施費に係る心神喪失者等医療観察法入院決定者移送費。心神喪失者の医療観察・処遇（刑事法執行①と医療の境界）の遂行に伴う経費
厚生労働省,都道府県労働局共通費,職員基本給,556,該当なし,100%,556,都道府県労働局共通費に係る職員基本給。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
厚生労働省,都道府県労働局共通費,職員諸手当,304,⑨,100%,304,都道府県労働局共通費に係る職員諸手当（扶養・通勤・地域等）。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
厚生労働省,都道府県労働局共通費,超過勤務手当,30,⑨,100%,30,都道府県労働局共通費に係る超過勤務手当。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
厚生労働省,都道府県労働局共通費,統計調査員手当,1,⑨,100%,1,都道府県労働局共通費に係る統計調査員手当。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）の遂行に伴う経費
厚生労働省,都道府県労働局共通費,短時間勤務職員給与,23,⑨,100%,23,都道府県労働局共通費に係る短時間勤務職員給与。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
厚生労働省,都道府県労働局共通費,児童手当,7,⑨,100%,7,都道府県労働局共通費に係る児童手当。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
厚生労働省,都道府県労働局共通費,職員旅費,1,⑨,100%,1,都道府県労働局共通費に係る職員旅費。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）に伴う現地視察・監督・会議出張費
厚生労働省,都道府県労働局共通費,庁費,10,⑨,100%,10,都道府県労働局共通費に係る庁費。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,都道府県労働局共通費,移転費,3,⑨,100%,3,都道府県労働局共通費に係る移転費。労働局（労働基準監督・安全衛生規制という情報非対称⑨是正の地域執行）の遂行に伴う経費
厚生労働省,都道府県労働局施設費,施設整備費,1,⑨,100%,1,都道府県労働局施設費に係る施設整備費。労働局施設（労働基準監督⑨の地域拠点施設整備）の遂行に伴う経費
厚生労働省,労働条件確保・改善対策費,委員手当,2,⑨,100%,2,労働条件確保・改善対策費に係る委員手当。労働基準の確保（情報非対称⑨の是正）の遂行に伴う経費
厚生労働省,労働条件確保・改善対策費,諸謝金,4,⑨,100%,4,労働条件確保・改善対策費に係る諸謝金。労働基準の確保（情報非対称⑨の是正）の遂行に伴う経費
厚生労働省,労働条件確保・改善対策費,庁費,1,⑨,100%,1,労働条件確保・改善対策費に係る庁費。労働基準の確保（情報非対称⑨の是正）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,男女均等雇用対策費,雇用均等行政特別協助員手当,1,⑨,100%,1,男女均等雇用対策費に係る雇用均等行政特別協助員手当。性差別という外部不経済（⑨）を是正する雇用平等政策の遂行に伴う経費
厚生労働省,男女均等雇用対策費,諸謝金,1,⑨,100%,1,男女均等雇用対策費に係る諸謝金。性差別という外部不経済（⑨）を是正する雇用平等政策の遂行に伴う経費
厚生労働省,個別労働紛争対策費,委員手当,1,⑤/⑨,100%,1,個別労働紛争対策費に係る委員手当。個別の労働紛争解決（私的契約の履行確保⑤と情報非対称⑨の是正）の遂行に伴う経費
厚生労働省,高齢者等雇用安定・促進費,諸謝金,3,一部⑨,50%,2,高齢者等雇用安定・促進費に係る諸謝金。高齢者雇用の情報非対称（年齢差別の外部不経済一部⑨）の是正の遂行に伴う経費
厚生労働省,高齢者等雇用安定・促進費,障害者等雇用安定促進業務諸謝金,18,一部⑨,50%,9,高齢者等雇用安定・促進費に係る障害者等雇用安定促進業務諸謝金。高齢者雇用の情報非対称（年齢差別の外部不経済一部⑨）の是正の遂行に伴う経費
厚生労働省,高齢者等雇用安定・促進費,高齢者等雇用安定促進業務庁費,2,一部⑨,50%,1,高齢者等雇用安定・促進費に係る高齢者等雇用安定促進業務庁費。高齢者雇用の情報非対称（年齢差別の外部不経済一部⑨）の是正の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,高齢者等雇用安定・促進費,障害者等雇用安定促進業務庁費,3,一部⑨,50%,2,高齢者等雇用安定・促進費に係る障害者等雇用安定促進業務庁費。高齢者雇用の情報非対称（年齢差別の外部不経済一部⑨）の是正の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,高齢者等雇用安定・促進費,土地建物借料,3,一部⑨,50%,2,高齢者等雇用安定・促進費に係る土地建物借料。高齢者雇用の情報非対称（年齢差別の外部不経済一部⑨）の是正の拠点施設として民間施設を借上げるコスト
厚生労働省,若年者等職業能力開発支援費,職業能力開発支援事業委託費,9,一部⑨,50%,4,若年者等職業能力開発支援費に係る職業能力開発支援事業委託費。若者・ニートへの就業支援（人的資本の外部効果から市場過少投資一部⑨）の遂行に伴う経費
厚生労働省,中央労働委員会共通費,職員基本給,7,該当なし,100%,7,中央労働委員会共通費に係る職員基本給。集団的労使紛争の調停・仲裁（⑤）機関（紛争の外部効果⑨を最小化）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
厚生労働省,中央労働委員会共通費,職員諸手当,4,⑤/⑨,100%,4,中央労働委員会共通費に係る職員諸手当（扶養・通勤・地域等）。集団的労使紛争の調停・仲裁（⑤）機関（紛争の外部効果⑨を最小化）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
厚生労働省,中央労働委員会共通費,短時間勤務職員給与,1,⑤/⑨,100%,1,中央労働委員会共通費に係る短時間勤務職員給与。集団的労使紛争の調停・仲裁（⑤）機関（紛争の外部効果⑨を最小化）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
厚生労働省,中央労働委員会共通費,庁費,1,⑤/⑨,100%,1,中央労働委員会共通費に係る庁費。集団的労使紛争の調停・仲裁（⑤）機関（紛争の外部効果⑨を最小化）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
厚生労働省,労使関係等安定形成促進費,委員手当,2,⑨,100%,2,労使関係等安定形成促進費に係る委員手当。労使紛争の調整・仲裁（外部効果⑨の是正）の遂行に伴う経費
厚生労働省,労使関係等安定形成促進費,庁費,1,⑨,100%,1,労使関係等安定形成促進費に係る庁費。労使紛争の調整・仲裁（外部効果⑨の是正）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
農林水産省,農林水産本省共通費,職員基本給,195,該当なし,0%,0,農林水産本省共通費に係る職員基本給。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率0%）
農林水産省,農林水産本省共通費,職員諸手当,111,該当なし,0%,0,農林水産本省共通費に係る職員諸手当（扶養・通勤・地域等）。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率0%）
農林水産省,農林水産本省共通費,超過勤務手当,36,該当なし,0%,0,農林水産本省共通費に係る超過勤務手当。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率0%）
農林水産省,農林水産本省共通費,非常勤職員手当,2,該当なし,0%,0,農林水産本省共通費に係る非常勤職員手当。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率0%）
農林水産省,農林水産本省共通費,休職者給与,5,該当なし,0%,0,農林水産本省共通費に係る休職者給与。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の遂行に伴う経費
農林水産省,農林水産本省共通費,国際機関等派遣職員給与,3,該当なし,0%,0,農林水産本省共通費に係る国際機関等派遣職員給与。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の遂行に伴う経費
農林水産省,農林水産本省共通費,短時間勤務職員給与,4,該当なし,0%,0,農林水産本省共通費に係る短時間勤務職員給与。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率0%）
農林水産省,農林水産本省共通費,公務災害補償費,4,該当なし,0%,0,農林水産本省共通費に係る公務災害補償費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の遂行に伴う経費
農林水産省,農林水産本省共通費,退職手当,192,該当なし,0%,0,農林水産本省共通費に係る退職手当。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率0%）
農林水産省,農林水産本省共通費,児童手当,2,該当なし,0%,0,農林水産本省共通費に係る児童手当。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率0%）
農林水産省,農林水産本省共通費,職員旅費,8,該当なし,0%,0,農林水産本省共通費に係る職員旅費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）に伴う現地視察・監督・会議出張費
農林水産省,農林水産本省共通費,農業協同組合等検査旅費,1,該当なし,0%,0,農林水産本省共通費に係る農業協同組合等検査旅費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）に伴う現地視察・監督・会議出張費
農林水産省,農林水産本省共通費,外国留学旅費,1,該当なし,0%,0,農林水産本省共通費に係る外国留学旅費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）に伴う現地視察・監督・会議出張費
農林水産省,農林水産本省共通費,赴任旅費,6,該当なし,0%,0,農林水産本省共通費に係る赴任旅費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）に伴う現地視察・監督・会議出張費
農林水産省,農林水産本省共通費,委員等旅費,1,該当なし,0%,0,農林水産本省共通費に係る委員等旅費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）に伴う現地視察・監督・会議出張費
農林水産省,農林水産本省共通費,庁費,36,該当なし,0%,0,農林水産本省共通費に係る庁費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
農林水産省,農林水産本省共通費,情報処理業務庁費,5,該当なし,0%,0,農林水産本省共通費に係る情報処理業務庁費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）に必要なデータ処理・業務システムの維持コスト
農林水産省,農林水産本省共通費,各所修繕,2,該当なし,0%,0,農林水産本省共通費に係る各所修繕。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）を実施するための施設・設備の維持・補修コスト
農林水産省,農林水産本省共通費,農林水産政策調査等委託費,2,該当なし,0%,0,農林水産本省共通費に係る農林水産政策調査等委託費。農林水産省本省の共通管理費（農業産業政策立案機関であり市場の失敗の是正が主目的でない）の遂行に伴う経費
